"label","phenotype","sd.diff.zeropeak","sd.diff.rotpeak","sd.diff.declinepeak","mu.diff.rotpeak","mu.diff.declinepeak","mu.diff.zeropeak","diff.orig.rotpeak","diff.orig.declinepeak","diff.orig.zeropeak"
"lh_precuneus","GM",0.0700170315424562,0.00696029410735181,0.789876064315497,0.0069531983041349,1.25179331640931,0.0516297295650447,0.00698524397932287,1.33740251079132,0.0559775165579435
"lh_rostralanteriorcingulate","GM",0.352852226685598,0.0209419748570376,0,0.187158612449655,0,2.11931328137922,0.183870088591078,0,2.11031051933772
"lh_rostralmiddlefrontal","GM",0.104951290003569,0.0124556250943113,1.41569177849364,0.0478839188257636,5.68725053811193,0.530262544264371,0.0486884059516158,5.88344083870275,0.548064345360696
"lh_superiorfrontal","GM",0.1004894257146,0.015233802714303,0.79432864764783,0.0132627179651531,-0.493926082017755,-0.0116352994321733,0.0121375671685876,-0.489977457601888,-0.0215354708249835
"lh_superiorparietal","GM",0.0881064148711958,0.0141877179335401,0.92231228074949,0.0607027093169822,-20.3750291301416,-1.4498588982453,0.0631065132692122,-20.0467945667242,-1.39698054971087
"lh_superiortemporal","GM",0.129194669863427,0.0213253751829621,3.74565597161745,-0.040403041414657,8.84818440698101,0.173542602003073,-0.0444152527740189,10.6640156415339,0.240417699225718
"lh_supramarginal","GM",0.125378571054453,0.0124805044562596,1.34869069259785,0.0251542236391786,-16.9412662075746,-1.29808775848864,0.0278394128052896,-16.5912787297755,-1.24729271629073
"lh_temporalpole","GM",0.654382454859964,0.0295168292926281,0,0.197756093620476,0,-2.5076651706406,0.200049431806598,0,-2.49616788679811
"lh_transversetemporal","GM",0.351585808015129,0.0357020021071067,3.09736078847709,-0.052164797954015,37.8347261042297,1.37528119510859,-0.0403852755719007,38.3504733925597,1.3029414024059
"lh_HEMI.SA","SA",0.0862521129480891,0.00427570518859664,1.32531161903921,0.00852892239707222,0.53062999192745,0.142181550001237,0.00819901242431953,0,0.140766387154367
"lh_bankssts","SA",0.225412919412029,0.0177025787454969,2.86851066678871,0.0407658522896152,-1.15314577480526,0.092925571801967,0.038520031027689,-1.12885963718236,0.0945602663048124
"lh_caudalanteriorcingulate","SA",0.547436582614016,0.0454084475835924,0,-0.0196852455161298,0,-1.89736596582826,-0.0286796809662222,0,-2.00285003912041
"lh_caudalmiddlefrontal","SA",0.409889128839616,0.0158961584396854,8.04358335779179,-0.0429172187582224,2.31714199837984,-0.0930313067726532,-0.0426595576796422,0.303982024180954,-0.227775030571696
"lh_cuneus","SA",0.49563241031172,0.0329474947974244,0,0.0758669640651702,0,0.224392412771825,0.069957856097236,0,0.0263972333780931
"lh_entonal","SA",1.05437346052446,0.0456301776321189,0,0.533267297833791,0,1.71495158126812,0.526510139878141,0,1.62699527687026
"lh_frontalpole","SA",0.390325129210984,0.0164202050155797,0,0.1127632764032,0,-0.103115396195322,0.111390431789339,0,-0.0723115629744395
"lh_fusiform","SA",0.270546513282271,0.0145820701651936,0,0.0184040527446528,0,-0.244881619502981,0.0153706801851915,0,-0.350533050970702
"lh_inferiorparietal","SA",0.266861275742485,0.0113913806951708,4.12578297941034,-0.0155633162493308,4.81536498731514,0.167052744431229,-0.0172699004404185,4.17594167697648,0.13145742474395
"lh_inferiortemporal","SA",0.270210637111337,0.0200206777406798,0,0.0327152240848236,0,0.289198982041238,0.0278808751761145,0,0.143472084650806
"lh_insula","SA",0.829338345325523,0.0291002224672138,1.65750370658836,0.00682714260634231,-0.239046864113222,-3.21331064838534,0.0116386127550465,0,-3.23739531265265
"lh_isthmuscingulate","SA",0.646260513538297,0.05895162320421,9.79838078436978,0.0850737537243903,-17.253082607682,-1.07229681588952,0.0644753446796991,-16.7285879193939,-1.16353344254608
"lh_lateraloccipital","SA",0.246631167208356,0.0116705452745344,4.03651397850615,0.00372347527663147,12.1961872819305,0.451079934780047,0.00156725331258428,11.0975830705337,0.355682473263569
"lh_lateralorbitofrontal","SA",0.250454582087926,0.0184015668216654,0,0.0366013550611396,0,-0.574212391794017,0.0372664984637842,0,-0.602300438042164
"lh_lingual","SA",0.34538370832391,0.0162230954896508,0,-0.0130237083397402,0,-0.429689864791903,-0.0113801986689057,0,-0.360867870770623
"lh_medialorbitofrontal","SA",0.46526678550128,0.0232730220358921,0,-0.00859577365294407,0,1.05466423489869,-0.00912846767506892,0,1.06297820001873
"lh_middletemporal","SA",0.232381417573037,0.0134869736743327,0,0.0501701512292403,0,0.788209541648757,0.0509774141663536,0,0.80479147690464
"lh_paracentral","SA",0.439537577407569,0.00886092866217302,2.78969521700165,0.036548858608785,-5.93638529439415,-0.932443716487298,0.0347043180957801,-5.7776490292349,-0.949305662650342
"lh_parahippocampal","SA",5.88910107752461,0.18615348960383,10.8926887962216,0.437900465583904,-99.239480057891,-1.54905229239043,0.408847095062997,-100.430494036893,0.468728559224488
