"","label","phenotype","signed","absolute","log.signed","log.absolute"
"98","lh_rostralanteriorcingulate","SA",9473.13216591805,9482.6591248679,1.02647860254488,1.06714164803772
"99","lh_rostralmiddlefrontal","SA",-837.833945509483,840.187946746919,-0.0930596145527197,0.102557465142035
"100","lh_superiorfrontal","SA",1253.27512149495,1253.27512149495,0.161713117340073,0.161713117340073
"101","lh_superiorparietal","SA",287.213275418211,301.53495196284,0.0255326661084695,0.0795361172697705
"102","lh_superiortemporal","SA",2274.90078252684,2274.90078252684,0.312480944070237,0.312480944070237
"103","lh_supramarginal","SA",3056.33616983732,3056.33616983732,0.470063911973757,0.470063911973757
"104","lh_temporalpole","SA",764.117802738956,795.478358742181,0.037138046390445,0.12738640420153
"105","lh_transversetemporal","SA",8849.23640246927,8849.23640246927,1.18380955352664,1.18380955352664
"106","Left-Accumbens-area","SUBC",-3658.35632110276,3658.44315932569,-0.281869286226505,0.282111914971178
"107","Left-Amygdala","SUBC",-3025.76974675904,3055.44403589194,-0.200921662623766,0.306495380260863
"108","Left-Caudate","SUBC",-1024.7198755362,1025.27299391393,-0.138502193284051,0.141057115285958
"109","Left-Cerebellum-Cortex","SUBC",-334.782028476841,374.776655191016,0.005747874449485,0.0549611676908724
"110","Left-Cerebellum-White-Matter","SUBC",1070.36242250392,1070.36242250392,0.162332079473312,0.162332079473312
"111","Left-Cerebellum","SUBC",NA,NA,NA,NA
"112","Left-choroid-plexus","SUBC",-2111.7009534121,2115.24386226745,NA,NA
"113","Left-Hippocampus","SUBC",-638.945944134138,638.945944134138,-0.13678104172102,0.13678104172102
"114","Left-Inf-Lat-Vent","SUBC",1297.63675601754,1680.53302981064,0.114124884344456,0.184433723280481
"115","Left-Lateral-Ventricle","SUBC",2174.28724900906,2174.28724900906,0.375734799582016,0.375734799582016
"116","Left-Pallidum","SUBC",217.566172617092,279.428788450808,0.0970317370216337,0.0989910408898084
"117","Left-Putamen","SUBC",0.0758190738777733,36.4716318186765,-0.00492790320714384,0.0130466310013026
"118","Left-Thalamus-Proper","SUBC",607.859084631601,636.809530575299,0.107241612222383,0.108058814170808
"119","Left-VentralDC","SUBC",242.572070171276,257.761024638995,0.0168518659215269,0.0217330634369777
"120","Left-vessel","SUBC",6564.88097136791,6564.88097136791,NA,NA
